ORP_KOD,ORP_nazev,zaci_celkem,ukrajinsti_zaci,ukrajinci_na_1000_zaku
6208,Ivančice,2291,14,"61,10868454"
6209,Kuřim,2109,13,"61,64058685"
6210,Kyjov,4629,5,"10,80146885"
6211,Mikulov,1700,5,"29,41176414"
6212,Moravský,1865,2,"10,72386074"
6213,Pohořelic,1334,2,"14,99250412"
6214,Rosice,2216,12,"54,15162277"
6215,Slavkov u,2470,7,"28,34008026"
6216,Šlapanice,6247,42,"67,23226929"
6217,Tišnov,3259,6,"18,41055489"
6218,Veselí na,3093,4,"12,93242836"
6219,Vyškov,4957,26,"52,45108032"
6220,Znojmo,8542,16,"18,7309761"
6221,Židlochov,3049,27,"88,55362701"
7101,Hranice,2931,7,"23,88263321"
7102,Jeseník,3150,1,"3,174603224"
7103,Konice,771,1,"12,97016907"
7104,Lipník na,1304,1,"7,668711662"
7105,Litovel,2087,4,"19,1662674"
7106,Mohelnice,1626,4,"24,60024643"
7107,Olomouc,15475,43,"27,7867527"
7108,Prostějov,8623,27,"31,31160927"
7109,Přerov,6442,13,"20,18006897"
7110,Šternberk,1984,3,"15,12096786"
7111,Šumperk,6238,9,"14,427701"
7112,Uničov,1976,1,"5,06072855"
7113,Zábřeh,2826,1,"3,538570404"
7201,Bystřice,1263,0,0
7202,Holešov,1874,3,"16,00853729"
7203,Kroměří,5758,9,"15,63042736"
7204,Luhačovic,1468,2,"13,62397861"
7205,Otrokovice,2905,6,"20,6540451"
7206,Rožnov po,3197,11,"34,40725708"
7207,Uherské H,8008,10,"12,48751259"
7208,Uherský B,4437,9,"20,2839756"
7209,Valašské,1991,0,0
7210,Valašské,3821,6,"15,70269585"
7211,Vizovice,1542,2,"12,97016907"
7212,Vsetín,5747,18,"31,32068825"
7213,Zlín,8868,21,"23,6806488"
8101,Bílovec,2146,1,"4,659832478"
8102,Bohumín,2728,1,"3,66568923"
8103,Bruntál,3146,8,"25,4291172"
8104,Český T,2323,1,"4,304778099"
8105,Frenštát,1731,0,0
8106,Frýdek-M,9928,13,"13,09427834"
8107,Frýdlant,2269,0,0
8108,Havířov,7194,6,"8,340283394"
8109,Hlučín,3575,1,"2,797202826"
8110,Jablunkov,2136,0,0
8111,Karviná,5040,5,"9,920635223"
8112,Kopřivnic,3682,10,"27,15915298"
8113,Kravaře,2037,2,"9,818360329"
8114,Krnov,3329,4,"12,01562023"
8115,Nový Jič,4634,8,"17,26370239"
8116,Odry,1518,7,"46,11330795"
8117,Opava,9421,10,"10,61458397"
8118,Orlová,3123,2,"6,404098511"
8119,Ostrava,26432,36,"13,61985493"
8120,Rýmařov,1143,2,"17,49781227"
8121,Třinec,5204,7,"13,45119095"
8122,Vítkov,1273,1,"7,85545969"
